sourcePath,sourceRelativePath,sourceSha256,sourceHadNoAlpha,preset,preserveSourceDimensions,targetContentHeight,status,skippedReason,outputPath,outputSha256,sourceSize,sourceBoundingBox,scaleRatio,contentSize,outputSize,outputBoundingBox,contentBoundingBox,bottomCenterAnchor,normalizedPivotX,normalizedPivotY,requestedColors,actualColors,requestedPaletteColorCount,actualPaletteColorCount,opaquePixelCount,transparentPixelCount,sourceUniqueColorEstimate,outputUniqueColorCount,alphaValues,elapsedMilliseconds,warningCodes,errorMessage,algorithmVersion,presetConfigHash,saturationPreset,saturationMultiplier,saturationAdjustedPixelCount,saturationClampedPixelCount
E:\mercenary-rpg\asset_work\character_sources\EX_ex_cardboard_dragon_boxcalibur_골판지_드래곤_박스칼리버_0002_transparent.png,EX_ex_cardboard_dragon_boxcalibur_골판지_드래곤_박스칼리버_0002_transparent.png,ec1a77597107a9b49633e712eda87dcef9652d2e9efd4578fba42ae68473dc90,False,website_master,True,,PASS,,E:\mercenary-rpg\asset_work\character_pixelized\website_master\EX_ex_cardboard_dragon_boxcalibur_골판지_드래곤_박스칼리버_0002_transparent.png,ebc31c159df2dfde98c37a13d5409c27acd1391fe0129310f011361b5d05f294,"[1664,2432]","[173,41,1538,2399]",1.0,"[1365,2358]","[1374,2370]","[4,8,1366,2366]","[4,8,1366,2366]","[687.0,2366.0]",0.5,0.9983122362869198,16,16,16,16,1376280,1880100,61453,16,"[0,255]",2833.353,[],,mercenary-pixel-convert-1.0.0,d9f65e9f487237e86a6f80df6c266cc1226f40a6935d8f746867e0be08b4e8ce,high,1.35,36925,3940
E:\mercenary-rpg\asset_work\character_sources\EX_ex_contract_bug_bytebell_버그_먹은_회계요정_바이트벨_0001_transparent.png,EX_ex_contract_bug_bytebell_버그_먹은_회계요정_바이트벨_0001_transparent.png,5413ee7e84006b01c5fa2fd53475fb38c77b08ef5fcbdbc197a39d37b34b40b5,False,website_master,True,,WARNING,,E:\mercenary-rpg\asset_work\character_pixelized\website_master\EX_ex_contract_bug_bytebell_버그_먹은_회계요정_바이트벨_0001_transparent.png,b697400fca1c8bcca423958c29451e8e39d0068e2cd045a3764a3d57fa8a3c42,"[1664,2432]","[87,25,1626,2432]",1.0,"[1539,2407]","[1548,2418]","[4,7,1540,2413]","[4,7,1540,2413]","[774.0,2413.0]",0.5,0.9979321753515302,16,16,16,16,1665648,2077416,71749,16,"[0,255]",3730.327,"[""BOUNDING_BOX_TOUCHES_EDGE""]",,mercenary-pixel-convert-1.0.0,d9f65e9f487237e86a6f80df6c266cc1226f40a6935d8f746867e0be08b4e8ce,high,1.35,44049,3341
E:\mercenary-rpg\asset_work\character_sources\EX_ex_green_helm_medic_그린_헬름_0002_transparent.png,EX_ex_green_helm_medic_그린_헬름_0002_transparent.png,cb43e4984eb05d9be5acc933e422197d8f89b3c59774b67749a280f39e25ce18,False,website_master,True,,WARNING,,E:\mercenary-rpg\asset_work\character_pixelized\website_master\EX_ex_green_helm_medic_그린_헬름_0002_transparent.png,06c1284976186a0480180f2296dcaa1731fbfe9b005b5ab21442198124352689,"[1664,2432]","[137,8,1448,2432]",1.0,"[1311,2424]","[1320,2436]","[4,8,1312,2432]","[4,8,1312,2432]","[660.0,2432.0]",0.5,0.9983579638752053,16,16,16,16,1667520,1548000,48597,16,"[0,255]",3416.016,"[""BOUNDING_BOX_TOUCHES_EDGE""]",,mercenary-pixel-convert-1.0.0,d9f65e9f487237e86a6f80df6c266cc1226f40a6935d8f746867e0be08b4e8ce,high,1.35,44859,1042
E:\mercenary-rpg\asset_work\character_sources\EX_ex_mooncancer_bb_chan_BB쨩_0003_transparent.png,EX_ex_mooncancer_bb_chan_BB쨩_0003_transparent.png,bee4e5633c4b0b72d479f3ec114e352de4ab4893193fb670f85a374c5169fab6,False,website_master,True,,WARNING,,E:\mercenary-rpg\asset_work\character_pixelized\website_master\EX_ex_mooncancer_bb_chan_BB쨩_0003_transparent.png,09bea98750b59bd31ccf6a1d53b34a496c40797e16eb8adc1f3fa55aa6fe0a6e,"[1664,2432]","[38,0,1612,2428]",1.0,"[1574,2428]","[1584,2436]","[5,4,1577,2432]","[5,4,1577,2432]","[792.0,2432.0]",0.5,0.9983579638752053,16,16,16,16,1554720,2303904,67956,16,"[0,255]",3449.755,"[""BOUNDING_BOX_TOUCHES_EDGE""]",,mercenary-pixel-convert-1.0.0,d9f65e9f487237e86a6f80df6c266cc1226f40a6935d8f746867e0be08b4e8ce,high,1.35,42344,1358
E:\mercenary-rpg\asset_work\character_sources\EX_ex_moonlit_idol_knight_lunabelle_월광_아이돌_기사_루나벨_0001_transparent.png,EX_ex_moonlit_idol_knight_lunabelle_월광_아이돌_기사_루나벨_0001_transparent.png,e8f6ef3ddae43ee48439876225e84add651d261594fe5765bccb1bffce6cad4e,False,website_master,True,,WARNING,,E:\mercenary-rpg\asset_work\character_pixelized\website_master\EX_ex_moonlit_idol_knight_lunabelle_월광_아이돌_기사_루나벨_0001_transparent.png,42ef109f37c229f72dcbb994400fef6fe4aed6fd4a59c61066b2cfe342dc31a2,"[1664,2432]","[0,94,1643,2419]",1.0,"[1643,2325]","[1656,2334]","[6,5,1649,2327]","[6,5,1649,2327]","[828.0,2327.0]",0.5,0.9970008568980291,16,16,16,16,1561830,2303274,73136,16,"[0,255]",3430.158,"[""BOUNDING_BOX_TOUCHES_EDGE""]",,mercenary-pixel-convert-1.0.0,d9f65e9f487237e86a6f80df6c266cc1226f40a6935d8f746867e0be08b4e8ce,high,1.35,40845,10106
E:\mercenary-rpg\asset_work\character_sources\G_g_bearkin_female_001_곰수인_여성_프리셋_001_0001.png,G_g_bearkin_female_001_곰수인_여성_프리셋_001_0001.png,da4a80649b58fb2bca911711e2e80557528a93880959d084562ac458404d8943,True,website_master,True,,SKIPPED,UNCHANGED_SOURCE_PRESET_AND_ALGORITHM,E:\mercenary-rpg\asset_work\character_pixelized\website_master\G_g_bearkin_female_001_곰수인_여성_프리셋_001_0001.png,dbad053e06148d4b390932183bbb9ca229119028bb570913cc291d0e01b57d21,"[1664,2432]","[0,0,1664,2432]",1.0,"[1664,2432]","[1674,2442]","[5,6,1667,2436]","[5,6,1667,2436]","[837.0,2436.0]",0.5,0.9975429975429976,16,16,16,16,4038660,49248,12340,16,"[0,255]",0.0,"[""SOURCE_HAS_NO_ALPHA"",""BOUNDING_BOX_TOUCHES_EDGE""]",,mercenary-pixel-convert-1.0.0,d9f65e9f487237e86a6f80df6c266cc1226f40a6935d8f746867e0be08b4e8ce,high,1.35,30529,376
E:\mercenary-rpg\asset_work\character_sources\G_g_bearkin_male_001_곰수인_남성_프리셋_001_0001.png,G_g_bearkin_male_001_곰수인_남성_프리셋_001_0001.png,3a7ce53ff54397363cda78881bd5b1609ebc335a36c51ee48f879ecd6c0d3598,True,website_master,True,,SKIPPED,UNCHANGED_SOURCE_PRESET_AND_ALGORITHM,E:\mercenary-rpg\asset_work\character_pixelized\website_master\G_g_bearkin_male_001_곰수인_남성_프리셋_001_0001.png,94dfb622496042b929bef80eb1fc836d1d17bec60eee4976752d7d16ba867242,"[1664,2432]","[0,0,1664,2432]",1.0,"[1664,2432]","[1674,2442]","[5,6,1667,2436]","[5,6,1667,2436]","[837.0,2436.0]",0.5,0.9975429975429976,16,16,16,16,4038660,49248,18039,16,"[0,255]",0.0,"[""SOURCE_HAS_NO_ALPHA"",""BOUNDING_BOX_TOUCHES_EDGE""]",,mercenary-pixel-convert-1.0.0,d9f65e9f487237e86a6f80df6c266cc1226f40a6935d8f746867e0be08b4e8ce,high,1.35,50066,342
E:\mercenary-rpg\asset_work\character_sources\G_g_catkin_female_001_고양이수인_여성_프리셋_001_0001.png,G_g_catkin_female_001_고양이수인_여성_프리셋_001_0001.png,0f87b6d00c538e3a3f9eb18b9b308e3e824ce380817cc6e423baf0990d1ecfd1,True,website_master,True,,SKIPPED,UNCHANGED_SOURCE_PRESET_AND_ALGORITHM,E:\mercenary-rpg\asset_work\character_pixelized\website_master\G_g_catkin_female_001_고양이수인_여성_프리셋_001_0001.png,92c026c5e867f6b391595bfb2d2f88b728462d8a258cfa3700e7f3faa34404df,"[1664,2432]","[0,0,1664,2432]",1.0,"[1664,2432]","[1674,2442]","[5,6,1667,2436]","[5,6,1667,2436]","[837.0,2436.0]",0.5,0.9975429975429976,16,16,16,16,4038660,49248,10132,16,"[0,255]",0.0,"[""SOURCE_HAS_NO_ALPHA"",""BOUNDING_BOX_TOUCHES_EDGE""]",,mercenary-pixel-convert-1.0.0,d9f65e9f487237e86a6f80df6c266cc1226f40a6935d8f746867e0be08b4e8ce,high,1.35,22108,417
E:\mercenary-rpg\asset_work\character_sources\G_g_catkin_male_001_고양이수인_남성_프리셋_001_0001.png,G_g_catkin_male_001_고양이수인_남성_프리셋_001_0001.png,11c240756d6202517f8f69e7e974ab1d5e01309affe0f41e3be17f0521d7b7ba,True,website_master,True,,SKIPPED,UNCHANGED_SOURCE_PRESET_AND_ALGORITHM,E:\mercenary-rpg\asset_work\character_pixelized\website_master\G_g_catkin_male_001_고양이수인_남성_프리셋_001_0001.png,e5841d1cc8eaa6316f12444576b4f3fd6cf39e1d6d750edf58afc1aa56e162f2,"[1664,2432]","[0,0,1664,2432]",1.0,"[1664,2432]","[1674,2442]","[5,6,1667,2436]","[5,6,1667,2436]","[837.0,2436.0]",0.5,0.9975429975429976,16,16,16,16,4038660,49248,12163,16,"[0,255]",0.0,"[""SOURCE_HAS_NO_ALPHA"",""BOUNDING_BOX_TOUCHES_EDGE""]",,mercenary-pixel-convert-1.0.0,d9f65e9f487237e86a6f80df6c266cc1226f40a6935d8f746867e0be08b4e8ce,high,1.35,29673,252
E:\mercenary-rpg\asset_work\character_sources\G_g_centaur_female_001_켄타우로스_여성_프리셋_001_0001.png,G_g_centaur_female_001_켄타우로스_여성_프리셋_001_0001.png,9db876a3fef8796afada6f6706aa0bd4bd448b6c0c18aaf3bebad9e02f5c2ccc,True,website_master,True,,SKIPPED,UNCHANGED_SOURCE_PRESET_AND_ALGORITHM,E:\mercenary-rpg\asset_work\character_pixelized\website_master\G_g_centaur_female_001_켄타우로스_여성_프리셋_001_0001.png,e0c7cd751aa7e9b31466e8ddc1ce7ee57891d9247ca28095d95626de73a4bbe8,"[1664,2432]","[0,0,1664,2432]",1.0,"[1664,2432]","[1674,2442]","[5,6,1667,2436]","[5,6,1667,2436]","[837.0,2436.0]",0.5,0.9975429975429976,16,16,16,16,4038660,49248,14781,16,"[0,255]",0.0,"[""SOURCE_HAS_NO_ALPHA"",""BOUNDING_BOX_TOUCHES_EDGE""]",,mercenary-pixel-convert-1.0.0,d9f65e9f487237e86a6f80df6c266cc1226f40a6935d8f746867e0be08b4e8ce,high,1.35,34876,696
